id,latitude,longitude,issue_datetime,weather_datetime,temp_c,humidity,wind_kph,precip_mm,pm10,pm2_5,co,no2,o3,so2
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 07:00:00,nan,nan,nan,nan,8.8,8.4,225.0,14.4,71.0,2.4
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 08:00:00,nan,nan,nan,nan,5.1,4.9,205.0,9.2,80.0,2.3
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 09:00:00,nan,nan,nan,nan,3.2,2.9,191.0,5.9,86.0,2.2
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 10:00:00,nan,nan,nan,nan,3.1,2.6,190.0,5.1,88.0,2.1
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 11:00:00,nan,nan,nan,nan,3.9,3.2,195.0,6.3,88.0,2.0
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 12:00:00,nan,nan,nan,nan,6.9,6.1,200.0,7.7,82.0,1.9
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 13:00:00,nan,nan,nan,nan,7.1,6.2,203.0,7.8,84.0,2.2
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 14:00:00,nan,nan,nan,nan,7.5,6.5,205.0,8.0,86.0,2.5
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 15:00:00,nan,nan,nan,nan,8.0,6.7,205.0,7.8,89.0,2.8
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 16:00:00,nan,nan,nan,nan,8.1,6.5,202.0,6.8,93.0,2.9
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 17:00:00,nan,nan,nan,nan,8.4,6.5,196.0,5.4,98.0,2.9
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 18:00:00,nan,nan,nan,nan,8.8,6.7,194.0,4.6,102.0,3.1
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 19:00:00,nan,nan,nan,nan,9.3,6.9,194.0,4.4,104.0,3.5
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 20:00:00,nan,nan,nan,nan,9.6,7.2,198.0,4.9,105.0,4.1
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 21:00:00,nan,nan,nan,nan,10.0,7.6,210.0,7.0,104.0,4.6
SR25-00549727,41.92520842825425,-87.66457965990796,2025-04-07T07:19:18.000,2025-04-06 22:00:00,nan,nan,nan,nan,10.6,8.1,238.0,11.7,99.0,5.0
